Date,value_gold,value_oil,value_silver,value_ruth,value_irid,value_pall,value_rhod,value_plat
2015-09-21,0.7346366500000001,0.9994748,0.9999811000000004,0.99417,0.8657,0.9292,1.0009,0.99923
2015-09-22,0.7460365500000001,0.9990081,0.9998293500000004,0.99459,0.8606,0.93524,1.0009,0.98951
2015-09-23,0.7573954500000001,0.9990081,0.9996774500000004,0.99501,0.8555,0.94123,1.0009,0.99899
2015-09-24,0.7686619000000001,0.9994533999999999,0.9995295500000004,0.99543,0.8504,0.94759,1.0009,0.99899
2015-09-25,0.7573028500000002,0.9990039999999999,0.9995295500000004,0.99585,0.8504,0.94109,1.0009,0.99899
2015-09-29,0.7458036000000001,0.9994595,0.9996808000000005,0.99627,0.8504,0.94109,1.0009,0.98951
2015-10-01,0.7458036000000001,0.9994595,0.9995349000000004,0.99669,0.8452,0.94762,1.0009,0.98038
2015-10-02,0.7346431000000001,0.9994595,0.9996808000000005,0.99711,0.8452,0.94762,1.0009,0.98954
2015-10-05,0.7235137000000001,0.9994595,0.9996808000000005,0.99753,0.8452,0.94762,1.0009,0.99868
2015-10-06,0.7235137000000001,0.9994595,0.9998335500000004,0.99795,0.84,0.95471,1.0009,0.99868
2015-10-07,0.7235137000000001,0.9994595,0.9998335500000004,0.99837,0.8452,0.9618,0.9933,0.99868
2015-10-08,0.7235137000000001,0.9994595,0.9999928500000004,0.99879,0.8452,0.9618,1.0009,0.98922
2015-10-09,0.7120537000000001,0.9994595,0.9998350500000004,0.99921,0.8452,0.96884,1.0009,0.99867
2015-10-12,0.7120537000000001,0.9994595,0.9996768000000004,0.99963,0.8452,0.96884,1.0009,0.98886
2015-10-13,0.7236807000000001,0.9994595,0.9998360500000004,0.99963,0.84,0.97601,1.0009,0.99886
2015-10-14,0.7120898000000001,0.9994595,0.9999936000000005,0.99963,0.8348,0.96906,1.0009,0.99886
2015-10-15,0.7003485500000001,0.9994595,0.9998335500000004,0.99963,0.8348,0.976,0.99325,0.99886
2015-10-16,0.7003485500000001,0.9994595,0.9999951500000004,0.99963,0.8296,0.96895,0.99325,0.99886
2015-10-19,0.7121540500000001,0.9989864999999999,0.9998344000000005,0.99963,0.8348,0.96194,1.0011,0.99886
2015-10-20,0.7003984000000001,0.9985274,0.9999940000000005,0.99963,0.8296,0.96194,1.0011,0.99886
2015-10-21,0.7121286000000001,0.9989857999999999,0.9998352000000005,0.99963,0.8244,0.95499,1.0011,0.99886
2015-10-22,0.7121286000000001,0.9989857999999999,0.9998352000000005,0.99963,0.8244,0.94823,1.0011,0.99886
2015-10-23,0.7238144000000002,0.9989857999999999,0.9998352000000005,0.99963,0.8244,0.95495,0.99325,0.99886
2015-10-26,0.7355271500000001,0.9989857999999999,0.9998352000000005,0.99963,0.8192,0.96189,0.99325,0.99886
2015-10-27,0.7471893000000001,0.9985538999999999,0.9996764000000005,0.99963,0.814,0.95503,0.99325,0.99886
2015-10-28,0.7471893000000001,0.9989859999999999,0.9998353000000004,0.99963,0.8088,0.94824,0.98555,0.99886
2015-10-29,0.7471893000000001,0.9989859999999999,0.9999947000000005,0.99963,0.8088,0.95507,0.98555,0.99886
2015-11-02,0.7355761500000001,0.9989859999999999,0.9998351500000004,0.99963,0.8036,0.94834,0.99325,0.99886
2015-11-03,0.7241542,0.9994471999999999,0.9998351500000004,0.99963,0.7984,0.94178,0.99325,0.99886
2015-11-04,0.7241542,0.9994471999999999,0.9996807000000003,0.99963,0.7984,0.93533,1.00075,0.99886
2015-11-05,0.71293255,0.9994471999999999,0.9996807000000003,0.99963,0.7932,0.93533,0.99325,0.99886
2015-11-06,0.71293255,0.9994471999999999,0.9998317000000004,0.99963,0.788,0.92924,1.00075,0.99886
2015-11-09,0.7018327500000001,0.9994471999999999,0.9999822500000003,0.99963,0.7828,0.93538,0.99325,0.99886
2015-11-10,0.7018327500000001,0.9994471999999999,0.9999822500000003,0.99963,0.7828,0.94138,0.98585,0.98969
2015-11-11,0.69088925,0.9994471999999999,0.9999822500000003,0.99963,0.7828,0.94737,0.98585,0.99873
2015-11-12,0.6799608500000001,0.9994471999999999,0.9999822500000003,0.99963,0.7776,0.95319,0.99325,0.99873
2015-11-13,0.6690643000000001,0.9994471999999999,0.9999822500000003,0.99963,0.7828,0.95888,1.00065,0.99873
2015-11-16,0.6582092000000002,0.9994471999999999,0.9999822500000003,0.99963,0.788,0.96433,1.00065,0.99873
2015-11-17,0.6691484000000001,0.9994471999999999,0.9998382500000004,0.99963,0.7932,0.95887,0.99325,0.99873
2015-11-18,0.65830725,0.9994471999999999,0.9996954500000004,0.99963,0.7984,0.95887,0.99325,0.99873
2015-11-19,0.6475937500000001,0.9994471999999999,0.9998376000000004,0.99963,0.8036,0.95887,1.00065,0.99873
2015-11-20,0.63681805,0.9994471999999999,0.9999802500000003,0.99963,0.8088,0.9535,1.00065,0.99873
2015-11-23,0.62597325,0.9994471999999999,0.9999802500000003,0.99963,0.814,0.94798,0.99325,0.99012
2015-11-24,0.6367109000000001,0.9990544999999998,0.9999802500000003,0.99963,0.8192,0.94798,1.00065,0.99861
2015-11-25,0.62597395,0.9990544999999998,0.9999802500000003,0.99963,0.8244,0.94259,1.00065,0.99861
2015-11-27,0.6151836500000001,0.9994666999999998,0.9998377500000004,0.99963,0.8296,0.94259,1.00065,0.99026
2015-12-01,0.6258919500000001,0.9990609999999998,0.9999798000000004,0.99963,0.8348,0.93704,1.00065,0.99867
2015-12-02,0.6366080500000001,0.9994667999999998,0.9999798000000004,0.99963,0.84,0.94254,0.99345,0.99867
2015-12-03,0.62590435,0.9994667999999998,0.9999798000000004,0.99963,0.8452,0.93719,0.99345,0.99867
2015-12-04,0.6364360000000001,0.9994667999999998,0.9999798000000004,0.99963,0.8504,0.93186,0.99345,0.99867
2015-12-07,0.6364360000000001,0.9994667999999998,0.9999798000000004,0.99963,0.8556,0.93186,0.99345,0.99867
2015-12-08,0.6364360000000001,0.9994667999999998,0.9999798000000004,0.99963,0.8608,0.93743,0.98635,0.99867
2015-12-09,0.64717895,0.9994667999999998,0.9998368000000004,0.99963,0.866,0.94302,0.99345,0.99867
2015-12-10,0.6579662000000001,0.9994667999999998,0.9999790000000004,0.99963,0.8712,0.93746,1.00055,0.99867
2015-12-11,0.6472077500000001,0.9994667999999998,0.9999790000000004,0.99963,0.8764,0.93746,1.00055,0.99867
2015-12-14,0.6579200000000002,0.9994667999999998,0.9999790000000004,0.99963,0.8816,0.94289,1.00055,0.99025
2015-12-15,0.6471683000000001,0.9994667999999998,0.9999790000000004,0.99963,0.8868,0.94289,1.00055,0.99882
2015-12-16,0.6365174500000002,0.9994667999999998,0.9999790000000004,0.99963,0.892,0.9485,1.00055,0.99882
2015-12-17,0.6365174500000002,0.9994667999999998,0.9999790000000004,0.99963,0.8972,0.94278,0.99415,0.99882
2015-12-18,0.6472173500000001,0.9994667999999998,0.9999790000000004,0.99963,0.9024,0.94278,0.99415,0.99882
2015-12-21,0.6472173500000001,0.9991195999999998,0.9998411500000003,0.99963,0.9076,0.93724,0.99415,0.99882
2015-12-22,0.6365083500000002,0.9987740999999998,0.9999828000000003,0.99963,0.9128,0.94282,0.99415,0.99882
2015-12-23,0.6473090000000001,0.9987740999999998,0.9998400000000003,0.99963,0.918,0.93724,0.99415,0.99882
2015-12-24,0.6473090000000001,0.9987740999999998,0.9999830500000002,0.99963,0.9232,0.93173,0.98755,0.99882
2015-12-29,0.6580567000000002,0.9987740999999998,0.9999830500000002,0.99963,0.9284,0.92614,0.98755,0.99882
2015-12-30,0.6687899000000002,0.9983952999999997,0.9999830500000002,0.99963,0.9336,0.92056,0.98755,0.99882
2016-01-04,0.6795052500000003,0.9987611999999997,0.9998433500000002,0.99963,0.9388,0.9261,0.98095,0.99013
2016-01-05,0.6795052500000003,0.9991292999999997,0.9998433500000002,0.99963,0.944,0.92058,0.98095,0.99905
2016-01-06,0.6902887000000002,0.9991292999999997,0.9999830500000002,0.99963,0.9492,0.92601,0.97445,0.99905
2016-01-07,0.6794755500000003,0.9991292999999997,0.9999830500000002,0.99963,0.9544,0.92601,0.98095,0.99026
2016-01-08,0.6904637000000002,0.9991292999999997,0.9998422500000002,0.99963,0.9596,0.9211,0.98095,0.98153
2016-01-11,0.6904637000000002,0.9994612999999997,0.9999845000000003,0.99963,0.9648,0.91605,0.98735,0.99037
2016-01-12,0.6904637000000002,0.9994612999999997,0.9999845000000003,0.99963,0.97,0.91117,0.99375,0.98181
2016-01-13,0.6794839500000002,0.9994612999999997,0.9998455500000002,0.99963,0.97,0.91117,1.00015,0.97337
2016-01-14,0.6903439000000001,0.9994612999999997,0.9997072000000001,0.99963,0.9752,0.91117,1.00015,0.98182
2016-01-15,0.7012876500000002,0.9994612999999997,0.9997072000000001,0.99963,0.9804,0.90627,0.99365,0.9902
2016-01-19,0.7121084000000001,0.9994612999999997,0.9998460000000002,0.99963,0.9856,0.91121,0.98715,0.9902
2016-01-20,0.7121084000000001,0.9991765999999996,0.9999858500000002,0.99963,0.9908,0.91121,0.99375,0.98186
